INDIR,FOLDER,IN FILE,DURATION,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,LATITUDE,LONGITUDE,MODEL,SERIAL NO,FIRMWARE,PREFIX,NOTES,AUTO ID,PULSES,MATCHING,MATCH RATIO,MARGIN,FILES,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5,Attribute,ID,SourceFile,Habitat
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_180035_000.wav,5,08-12-24,0.750405000,18,08-12-24,0.250405000,6,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Et1Ms6XQ3xtzRlwNlEYowA==,MANUAL ID.1,MO1,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_180040_000.wav,5,08-12-24,0.750463000,18,08-12-24,0.250463000,6,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Q4FNNJq89Z57lCHtUUApAw==,MANUAL ID.1,MO1,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_180045_000.wav,5,08-12-24,0.750521000,18,08-12-24,0.250521000,6,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,C22WX7AdzEXqhSoVlHmp2g==,MANUAL ID.1,MO1,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_180050_000.wav,5,08-12-24,0.750579000,18,08-12-24,0.250579000,6,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,ov7gzVUZQ3NC5ko0PkbFIA==,MANUAL ID.1,MO1,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_180105_000.wav,5,08-12-24,0.750752000,18,08-12-24,0.250752000,6,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2XPl26s1lc/Hfud5YCeXcw==,MANUAL ID.1,JURO,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_180210_000.wav,5,08-12-24,0.75150500,18,08-12-24,0.25150500,6,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,UleDyHnASyWabeMhJfGLug==,MANUAL ID.1,MGOU,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_180110_000.wav,5,08-12-24,0.750810000,18,08-12-24,0.250810000,6,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,FkwvGzzmJcCNDo66F+x6TA==,MANUAL ID.1,JURO,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_180230_000.wav,5,08-12-24,0.751736000,18,08-12-24,0.251736000,6,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,u1nJitr2DigtTVFa1Uz0Fw==,MANUAL ID.1,MO1,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_180235_000.wav,5,08-12-24,0.751794000,18,08-12-24,0.251794000,6,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,i1+uUALiOeMAOY9WNkAMPQ==,MANUAL ID.1,MO1,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_180240_000.wav,5,08-12-24,0.751852000,18,08-12-24,0.251852000,6,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,a/2THf4han7UuZjkBjKPzw==,MANUAL ID.1,MO1,meta_MA1_1_edited.csv.xlsx,AG
